item,itemLabel,startDate,endDate,psid
Q102419623,Alexandra Núñez Sorich,2017-07-21,2018-03-11,Q102419623-CB9701E5-8F83-4BEF-A9B1-E8C075D43321
Q18630583,Miguel Vargas Correa,2014-03-11,2017-07-21,Q18630583-fb1c79a7-9f45-47c5-b07f-1ee8e301cf2d
Q23071124,Armando Arancibia,2000-03-11,2001-12-26,Q23071124-509BFA7D-4099-4201-ACE7-BC4DBFBE9F7B
Q3187641,Juan Emilio Cheyre,1987-12-15,1990-03-11,Q3187641-F3BF85FC-A128-4598-8277-84C39E0FDD38
Q3571936,Yasna Provoste,2001-12-26,2004-09-30,Q3571936-1e75678f-44ad-5fe4-b6ee-5415ac2bf187
Q5638292,Viviana Ireland,2007-01-22,2010-03-11,Q5638292-A6CEDA7C-8E24-4CF9-B33D-E1852C1EA987
Q56551619,Francisco Sánchez Barrera,2018-07-12,2019-02-20,Q56551619-009ec59f-48d4-f313-0024-4e1edd84bac2
Q6097826,Rafael Prohens,2012-06-01,2014-03-11,Q6097826-9BC886C3-EA28-4035-A9B0-24F51F194240
Q6169261,Ximena Matas,2010-03-11,2012-05-31,Q6169261-06BEDC96-54B4-4EC5-9319-5E7780E1F29A
Q62842578,Patricio Urquieta García,2018-03-11,2021-07-14,Q62842578-d4e19d3a-4da8-22ec-a62b-f0e2ac7abe7a
Q7299732,Raúl Armando Barrionuevo,1990-04,1992-11,Q7299732-458ACE03-6588-495C-95D3-D601111EDEB0
